国家/地区,点击次数,展示,点击率,排名
印度,3,65,4.62%,6.49
德国,3,27,11.11%,15.85
台湾,2,30,6.67%,11.97
印度尼西亚,2,11,18.18%,6.36
美国,1,97,1.03%,14.77
澳大利亚,1,6,16.67%,4.33
秘鲁,1,4,25%,6.75
埃及,1,3,33.33%,7.33
芬兰,1,2,50%,3.5
瑞典,1,2,50%,4
奥地利,1,1,100%,1
希腊,1,1,100%,1
摩洛哥,1,1,100%,1
土耳其,1,1,100%,1
罗马尼亚,1,1,100%,10
法国,0,29,0%,3.07
荷兰,0,24,0%,9.62
韩国,0,18,0%,4.94
墨西哥,0,16,0%,6.94
巴西,0,13,0%,5.08
日本,0,12,0%,9.83
西班牙,0,8,0%,6.62
哥伦比亚,0,7,0%,4.57
加拿大,0,7,0%,10.57
中国香港,0,6,0%,4.83
智利,0,6,0%,7.33
玻利维亚,0,6,0%,8.17
菲律宾,0,6,0%,9.83
英国,0,5,0%,2.8
阿根廷,0,5,0%,3
巴基斯坦,0,4,0%,7.75
新加坡,0,4,0%,7.75
塞尔维亚,0,4,0%,8.25
委内瑞拉,0,4,0%,8.25
意大利,0,3,0%,7.33
乌克兰,0,3,0%,8.33
马来西亚,0,3,0%,12.67
多哥,0,2,0%,3.5
比利时,0,2,0%,4.5
伊朗,0,2,0%,4.5
尼日利亚,0,2,0%,4.5
澳门,0,2,0%,7
波兰,0,2,0%,7
乌拉圭,0,2,0%,7.5
厄瓜多尔,0,2,0%,8
爱沙尼亚,0,2,0%,8.5
阿拉伯联合酋长国,0,2,0%,9.5
保加利亚,0,2,0%,11
越南,0,2,0%,18
刚果 - 金沙萨,0,1,0%,1
爱尔兰,0,1,0%,1
哈萨克斯坦,0,1,0%,1
孟加拉,0,1,0%,2
巴布亚新几内亚,0,1,0%,4
荷属圣马丁岛,0,1,0%,6
缅甸,0,1,0%,7
巴拿马,0,1,0%,7
马拉维,0,1,0%,8
科特迪瓦,0,1,0%,9
哥斯达黎加,0,1,0%,9
安道尔,0,1,0%,10
瑞士,0,1,0%,10
危地马拉,0,1,0%,10
科威特,0,1,0%,10
坦桑尼亚,0,1,0%,10
多米尼加共和国,0,1,0%,11
美属维尔京群岛,0,1,0%,11
中国,0,1,0%,12
斯洛伐克,0,1,0%,19
俄罗斯,0,1,0%,31
英属维尔京群岛,0,1,0%,58
