日期,点击次数,展示,点击率,排名
2026-05-30,0,11,0%,5.3
2026-05-31,0,3,0%,3
2026-06-01,0,8,0%,8.5
2026-06-02,0,10,0%,8.6
2026-06-03,1,13,7.69%,8.5
2026-06-04,0,6,0%,5.2
2026-06-05,2,19,10.53%,8.6
2026-06-06,1,14,7.14%,6
2026-06-07,2,9,22.22%,4.9
2026-06-08,1,19,5.26%,4.6
2026-06-09,1,18,5.56%,9.4
2026-06-10,0,23,0%,10.1
2026-06-11,3,22,13.64%,7.8
2026-06-12,1,25,4%,5.8
2026-06-13,0,8,0%,5
2026-06-14,0,14,0%,9.9
2026-06-15,1,20,5%,6.3
2026-06-16,1,21,4.76%,9.2
2026-06-17,1,32,3.12%,9.1
2026-06-18,0,22,0%,6.7
2026-06-19,2,31,6.45%,13.5
2026-06-20,1,16,6.25%,9.1
2026-06-21,0,20,0%,12.3
2026-06-22,1,26,3.85%,7.7
2026-06-23,1,29,3.45%,18.9
2026-06-24,0,21,0%,12.2
2026-06-25,0,14,0%,10.1
2026-06-26,1,17,5.88%,10.5
