排名靠前的网页,点击次数,展示,点击率,排名
https://audicap.work/,17,197,8.63%,4.58
https://audicap.work/blog/live-captions-translation.html,2,111,1.8%,11.37
https://audicap.work/zh-hant/blog/live-captions-translation.html,2,13,15.38%,17.08
https://audicap.work/use-cases/,0,61,0%,6.84
https://audicap.work/es/blog/transcribe-google-meet-without-bot.html,0,42,0%,8.83
https://audicap.work/blog/export-transcript-to-srt.html,0,39,0%,16.49
https://audicap.work/blog/transcribe-zoom-web.html,0,38,0%,6.61
https://audicap.work/alternatives/otter-ai.html,0,28,0%,11.39
https://audicap.work/blog/pay-as-you-go-transcription-students.html,0,25,0%,7.76
https://audicap.work/es/use-cases/youtube-transcript-generator.html,0,17,0%,6.41
https://audicap.work/es/,0,15,0%,3.07
https://audicap.work/alternatives/,0,15,0%,8.4
https://audicap.work/blog/,0,14,0%,6.79
https://audicap.work/use-cases/youtube-transcript-generator.html,0,11,0%,8.27
https://audicap.work/es/blog/live-captions-translation.html,0,11,0%,13.09
https://audicap.work/blog/transcribe-google-meet-without-bot.html,0,10,0%,38.2
https://audicap.work/terms.html,0,9,0%,10
https://audicap.work/zh-hant/,0,6,0%,5.67
https://audicap.work/privacy.html,0,5,0%,4.8
https://audicap.work/zh-hant/use-cases/youtube-transcript-generator.html,0,4,0%,9.75
https://audicap.work/#features,0,2,0%,6.5
https://audicap.work/#pricing,0,2,0%,6.5
https://audicap.work/refund.html,0,2,0%,7
